Recipe Name,All Ingredients,Cuisine Type,Cooking Time (mins),Difficulty,Calories,Vegetarian / Non-Vegetarian,Short Description
Paneer Butter Masala,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",West Indian,79,Easy,422,Vegetarian,A delicious Indian dish made with fresh vegetables.
Chicken Biryani,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",East Indian,83,Easy,376,Vegetarian,A delicious Indian dish made with authentic taste.
Masala Dosa,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",East Indian,34,Medium,346,Vegetarian,A delicious Indian dish made with aromatic spices.
Chole Bhature,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",North Indian,77,Medium,474,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Rajma Chawal,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",North Indian,31,Hard,484,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Aloo Gobi,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",East Indian,84,Easy,696,Vegetarian,A delicious Indian dish made with flavorful masala.
Dal Makhani,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",West Indian,72,Medium,268,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Palak Paneer,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",North Indian,44,Easy,535,Vegetarian,A delicious Indian dish made with aromatic spices.
Hyderabadi Biryani,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",South Indian,56,Easy,664,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Veg Pulao,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",North Indian,88,Medium,336,Vegetarian,A delicious Indian dish made with aromatic spices.
Pav Bhaji,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",East Indian,32,Easy,235,Vegetarian,A delicious Indian dish made with rich gravy.
Kadai Paneer,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",West Indian,67,Hard,266,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Butter Chicken,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",South Indian,37,Medium,390,Vegetarian,A delicious Indian dish made with authentic taste.
Matar Paneer,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",East Indian,26,Hard,268,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Baingan Bharta,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",East Indian,78,Medium,690,Vegetarian,A delicious Indian dish made with authentic taste.
Tandoori Chicken,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",North Indian,32,Hard,262,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Samosa,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",South Indian,29,Easy,659,Vegetarian,A delicious Indian dish made with fresh vegetables.
Idli Sambhar,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",West Indian,37,Medium,652,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Vada Pav,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",West Indian,65,Medium,301,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Poha,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",West Indian,34,Hard,199,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Upma,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",East Indian,89,Easy,558,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Kheer,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",East Indian,88,Easy,510,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Rasgulla,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",West Indian,77,Easy,317,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Gulab Jamun,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",East Indian,20,Easy,431,Vegetarian,A delicious Indian dish made with authentic taste.
Dhokla,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",East Indian,23,Easy,277,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Pani Puri,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",East Indian,42,Medium,633,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Aloo Paratha,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",South Indian,77,Easy,280,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Roti,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",West Indian,69,Medium,575,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Poori Bhaji,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",West Indian,46,Medium,363,Vegetarian,A delicious Indian dish made with fresh vegetables.
Mysore Pak,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",West Indian,84,Medium,302,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Fish Curry,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",East Indian,24,Easy,535,Vegetarian,A delicious Indian dish made with flavorful masala.
Mutton Rogan Josh,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",North Indian,34,Hard,467,Vegetarian,A delicious Indian dish made with fresh vegetables.
Pesarattu,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",West Indian,37,Hard,639,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Appam,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",South Indian,81,Easy,510,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Malai Kofta,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",South Indian,73,Easy,663,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Bhindi Masala,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",North Indian,24,Medium,462,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Methi Thepla,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",East Indian,68,Easy,561,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Bisi Bele Bath,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",North Indian,19,Medium,292,Vegetarian,A delicious Indian dish made with rich gravy.
Litti Chokha,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",South Indian,74,Easy,579,Vegetarian,A delicious Indian dish made with rich gravy.
Kofta Curry,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",West Indian,53,Medium,363,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Dum Aloo,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",East Indian,45,Easy,396,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Aloo Tikki,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",West Indian,68,Hard,688,Vegetarian,A delicious Indian dish made with authentic taste.
Chicken Tikka,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",North Indian,45,Hard,262,Vegetarian,A delicious Indian dish made with flavorful masala.
Paneer Tikka,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",South Indian,39,Easy,312,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Vegetable Biryani,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",South Indian,17,Hard,447,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Khichdi,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",East Indian,82,Medium,469,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Egg Curry,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",East Indian,85,Hard,411,Vegetarian,A delicious Indian dish made with rich gravy.
Vegetable Korma,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",North Indian,54,Easy,402,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Sambar Rice,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",North Indian,88,Medium,174,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Tomato Rasam,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",East Indian,37,Hard,292,Vegetarian,A delicious Indian dish made with rich gravy.
Hyderabadi Biryani Special,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",West Indian,81,Medium,678,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Kofta Curry Fusion,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",North Indian,47,Medium,509,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Khichdi Delight,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",East Indian,63,Easy,301,Vegetarian,A delicious Indian dish made with fresh vegetables.
Chicken Biryani Royal,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",East Indian,58,Medium,202,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Vegetable Biryani Special,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",North Indian,80,Hard,491,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Mysore Pak Royal,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",North Indian,36,Medium,183,Vegetarian,A delicious Indian dish made with fresh vegetables.
Vegetable Biryani Delight,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",East Indian,35,Hard,257,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Baingan Bharta Special,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",East Indian,68,Easy,542,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Fish Curry Classic,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",West Indian,78,Medium,532,Vegetarian,A delicious Indian dish made with flavorful masala.
Mysore Pak Royal Royal,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",South Indian,36,Hard,510,Vegetarian,A delicious Indian dish made with authentic taste.
Paneer Butter Masala Classic,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",South Indian,23,Easy,586,Vegetarian,A delicious Indian dish made with authentic taste.
Mysore Pak Special,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",West Indian,27,Hard,348,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Fish Curry Classic Classic,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",West Indian,68,Easy,162,Vegetarian,A delicious Indian dish made with aromatic spices.
Fish Curry Delight,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",East Indian,72,Hard,307,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Aloo Paratha Fusion,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",West Indian,37,Hard,404,Vegetarian,A delicious Indian dish made with authentic taste.
Upma Classic,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",East Indian,28,Easy,187,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Egg Curry Classic,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",West Indian,54,Easy,297,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Matar Paneer Classic,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",North Indian,55,Hard,357,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Fish Curry Delight Delight,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",South Indian,49,Hard,457,Non-Vegetarian,A delicious Indian dish made with rich gravy.
